timestamp,count,duration_ms,cost_microdollars
2025-12-11,4,5.04,0.840054401397705
2025-12-12,2,10.805,0.4429352983236313
2025-12-13,3,1.8033333333333335,0.610748725771904
2025-12-14,1,1.91,0.20379483664035797
2025-12-15,1,1.7,0.2033776032924652
2025-12-16,2,7.785,0.430934872508049
2025-12-17,3,1.8633333333333333,0.6111063543558121
2025-12-18,2,8.385,0.43331906306743617
2025-12-19,1,13.01,0.22584859931468962
2025-12-20,2,7.59,0.4301600105762482
2025-12-21,1,1.96,0.20389417791366576
2025-12-22,8,4.28,1.6680289039611818
2025-12-23,7,2.454285714285714,1.4341336615085603
2025-12-24,1,6.81,0.2135302814245224
2025-12-25,1,1.93,0.2038345731496811
2025-12-26,1,2.02,0.20401338744163514
2025-12-27,1,3.2,0.20635784149169922
2025-12-28,2,2.29,0.4090996606349945
2025-12-29,2,2.37,0.40941755270957947
2025-12-30,3,2.0466666666666664,0.6121991083621978
2025-12-31,2,2.19,0.4087022955417633
2026-01-01,4,10.055,0.8799101202487946
2026-01-02,1,1.81,0.20359615409374238
2026-01-03,5,3.776,1.0375112648010254
2026-01-04,2,8.715,0.4346303678750992
2026-01-05,1,1.99,0.20395378267765044
2026-01-06,6,1.8883333333333334,1.2225107325315476
2026-01-07,4,2.1174999999999997,0.8168284116983413
2026-01-08,2,8.665000000000001,0.4344316853284836
2026-01-09,3,9.003333333333332,0.6536641558408738
2026-01-10,1,2.03,0.20403325569629668
2026-01-11,2,2.5300000000000002,0.4100533368587494
2026-01-12,1,2.15,0.2042716747522354
2026-01-13,2,2.1,0.4083446669578552
2026-01-14,2,1.935,0.40768901455402373
2026-01-15,2,8.0,0.43178920745849614
2026-01-16,1,2.18,0.2043312795162201
2026-01-17,2,8.52,0.43385550594329836
2026-01-18,2,1.945,0.4077287510633469
2026-01-19,75,775.9010666666667,130.61849988532066
2026-01-20,181,1351.9937016574586,522.3977684929371
2026-01-21,106,928.0210377358491,216.6444780756235
2026-01-22,19,997.3405263157896,41.44928956615925
2026-01-23,45,789.2826666666667,79.5675105957985
2026-01-24,126,1049.5166666666667,287.9360115015507
2026-01-25,8,1132.56125,19.60161226785183
2026-01-26,150,1144.4323333333334,371.0680956238508
2026-01-27,171,891.635730994152,337.2337765324461
2026-01-28,29,974.3796551724139,61.94174706542492
2026-01-29,59,1367.8028813559322,172.13755024421215
2026-01-30,34,1185.3670588235293,86.8739936132431
2026-01-31,36,1629.9247222222223,123.78153405702115
2026-02-01,118,1295.8168644067798,327.39830958998203
2026-02-02,29,1360.6937931034483,84.20037131357194
2026-02-03,17,2078.715882352941,73.61077608335017
2026-02-04,19,1026.9984210526316,42.56886571633816
2026-02-05,64,1228.5121875,169.01371517491341
2026-02-06,7,471.1671428571429,7.952888147711754
2026-02-07,25,1221.1108,65.65335086095332
2026-02-08,18,1511.5077777777778,57.65583861327171
2026-02-09,132,2091.653947841182,586.7879704147044
